State,Variable,Value
Alabama,Year,1980
Alaska,Year,1980
Arizona,Year,1980
Arkansas,Year,1980
California,Year,1980
Colorado,Year,1980
Connecticut,Year,1980
Delaware,Year,1980
Florida,Year,1980
Georgia,Year,1980
Hawaii,Year,1980
Idaho,Year,1980
Illinois,Year,1980
Indiana,Year,1980
Iowa,Year,1980
Kansas,Year,1980
Kentucky,Year,1980
Louisiana,Year,1980
Maine,Year,1980
Maryland,Year,1980
Massachusetts,Year,1980
Michigan,Year,1980
Minnesota,Year,1980
Mississippi,Year,1980
Missouri,Year,1980
Montana,Year,1980
Nebraska,Year,1980
Nevada,Year,1980
New Hampshire,Year,1980
New Jersey,Year,1980
New Mexico,Year,1980
New York,Year,1980
North Carolina,Year,1980
North Dakota,Year,1980
Ohio,Year,1980
Oklahoma,Year,1980
Oregon,Year,1980
Pennsylvania,Year,1980
Rhode Island,Year,1980
South Carolina,Year,1980
South Dakota,Year,1980
Tennessee,Year,1980
Texas,Year,1980
Utah,Year,1980
Vermont,Year,1980
Virginia,Year,1980
Washington,Year,1980
West Virginia,Year,1980
Wisconsin,Year,1980
Wyoming,Year,1980
Alabama,Year,1990
Alaska,Year,1990
Arizona,Year,1990
Arkansas,Year,1990
California,Year,1990
Colorado,Year,1990
Connecticut,Year,1990
Delaware,Year,1990
Florida,Year,1990
Georgia,Year,1990
Hawaii,Year,1990
Idaho,Year,1990
Illinois,Year,1990
Indiana,Year,1990
Iowa,Year,1990
Kansas,Year,1990
Kentucky,Year,1990
Louisiana,Year,1990
Maine,Year,1990
Maryland,Year,1990
Massachusetts,Year,1990
Michigan,Year,1990
Minnesota,Year,1990
Mississippi,Year,1990
Missouri,Year,1990
Montana,Year,1990
Nebraska,Year,1990
Nevada,Year,1990
New Hampshire,Year,1990
New Jersey,Year,1990
New Mexico,Year,1990
New York,Year,1990
North Carolina,Year,1990
North Dakota,Year,1990
Ohio,Year,1990
Oklahoma,Year,1990
Oregon,Year,1990
Pennsylvania,Year,1990
Rhode Island,Year,1990
South Carolina,Year,1990
South Dakota,Year,1990
Tennessee,Year,1990
Texas,Year,1990
Utah,Year,1990
Vermont,Year,1990
Virginia,Year,1990
Washington,Year,1990
West Virginia,Year,1990
Wisconsin,Year,1990
Wyoming,Year,1990
Alabama,Year,2000
Alaska,Year,2000
Arizona,Year,2000
Arkansas,Year,2000
California,Year,2000
Colorado,Year,2000
Connecticut,Year,2000
Delaware,Year,2000
Florida,Year,2000
Georgia,Year,2000
Hawaii,Year,2000
Idaho,Year,2000
Illinois,Year,2000
Indiana,Year,2000
Iowa,Year,2000
Kansas,Year,2000
Kentucky,Year,2000
Louisiana,Year,2000
Maine,Year,2000
Maryland,Year,2000
Massachusetts,Year,2000
Michigan,Year,2000
Minnesota,Year,2000
Mississippi,Year,2000
Missouri,Year,2000
Montana,Year,2000
Nebraska,Year,2000
Nevada,Year,2000
New Hampshire,Year,2000
New Jersey,Year,2000
New Mexico,Year,2000
New York,Year,2000
North Carolina,Year,2000
North Dakota,Year,2000
Ohio,Year,2000
Oklahoma,Year,2000
Oregon,Year,2000
Pennsylvania,Year,2000
Rhode Island,Year,2000
South Carolina,Year,2000
South Dakota,Year,2000
Tennessee,Year,2000
Texas,Year,2000
Utah,Year,2000
Vermont,Year,2000
Virginia,Year,2000
Washington,Year,2000
West Virginia,Year,2000
Wisconsin,Year,2000
Wyoming,Year,2000
Alabama,Year,2001
Alaska,Year,2001
Arizona,Year,2001
Arkansas,Year,2001
California,Year,2001
Colorado,Year,2001
Connecticut,Year,2001
Delaware,Year,2001
Florida,Year,2001
Georgia,Year,2001
Hawaii,Year,2001
Idaho,Year,2001
Illinois,Year,2001
Indiana,Year,2001
Iowa,Year,2001
Kansas,Year,2001
Kentucky,Year,2001
Louisiana,Year,2001
Maine,Year,2001
Maryland,Year,2001
Massachusetts,Year,2001
Michigan,Year,2001
Minnesota,Year,2001
Mississippi,Year,2001
Missouri,Year,2001
Montana,Year,2001
Nebraska,Year,2001
Nevada,Year,2001
New Hampshire,Year,2001
New Jersey,Year,2001
New Mexico,Year,2001
New York,Year,2001
North Carolina,Year,2001
North Dakota,Year,2001
Ohio,Year,2001
Oklahoma,Year,2001
Oregon,Year,2001
Pennsylvania,Year,2001
Rhode Island,Year,2001
South Carolina,Year,2001
South Dakota,Year,2001
Tennessee,Year,2001
Texas,Year,2001
Utah,Year,2001
Vermont,Year,2001
Virginia,Year,2001
Washington,Year,2001
West Virginia,Year,2001
Wisconsin,Year,2001
Wyoming,Year,2001
Alabama,Year,2002
Alaska,Year,2002
Arizona,Year,2002
Arkansas,Year,2002
California,Year,2002
Colorado,Year,2002
Connecticut,Year,2002
Delaware,Year,2002
Florida,Year,2002
Georgia,Year,2002
Hawaii,Year,2002
Idaho,Year,2002
Illinois,Year,2002
Indiana,Year,2002
Iowa,Year,2002
Kansas,Year,2002
Kentucky,Year,2002
Louisiana,Year,2002
Maine,Year,2002
Maryland,Year,2002
Massachusetts,Year,2002
Michigan,Year,2002
Minnesota,Year,2002
Mississippi,Year,2002
Missouri,Year,2002
Montana,Year,2002
Nebraska,Year,2002
Nevada,Year,2002
New Hampshire,Year,2002
New Jersey,Year,2002
New Mexico,Year,2002
New York,Year,2002
North Carolina,Year,2002
North Dakota,Year,2002
Ohio,Year,2002
Oklahoma,Year,2002
Oregon,Year,2002
Pennsylvania,Year,2002
Rhode Island,Year,2002
South Carolina,Year,2002
South Dakota,Year,2002
Tennessee,Year,2002
Texas,Year,2002
Utah,Year,2002
Vermont,Year,2002
Virginia,Year,2002
Washington,Year,2002
West Virginia,Year,2002
Wisconsin,Year,2002
Wyoming,Year,2002
Alabama,Year,2003
Alaska,Year,2003
Arizona,Year,2003
Arkansas,Year,2003
California,Year,2003
Colorado,Year,2003
Connecticut,Year,2003
Delaware,Year,2003
Florida,Year,2003
Georgia,Year,2003
Hawaii,Year,2003
